#Target	enrichment
5c2h	0.0
3uri	8.0
4rfm	0.0
4ty7	4.0
4agq	0.0
5dwr	0.0
4twp	0.0
3u8n	0.0
3o9i	8.571428571428571
3p5o	0.0
3ejr	0.0
3ebp	0.0
2vvn	0.0
3arp	0.0
3gnw	4.0
1e66	0.0
3f3e	0.0
2cet	0.0
4gid	0.0
4pcs	0.0
3ge7	0.0
3e93	0.0
3qqs	0.0
2r9w	0.0
2qbp	0.0
3ag9	3.3333333333333335
4tmn	0.0
3coy	0.0
2fvd	0.0
4ivc	0.0
4jia	0.0
1nvq	2.2222222222222223
2zcq	0.0
3utu	2.0
2p4y	2.2222222222222223
3myg	0.0
1sqa	0.0
3dd0	0.0
2yki	0.0
3g0w	0.0
2al5	0.0
4de1	0.0
3fv1	0.0
2p15	0.0
1mq6	0.0
4f3c	0.0
1o3f	0.0
2vw5	4.0
3kr8	0.0
2x00	0.0
3nw9	4.0
3zso	5.0
2xb8	0.0
4w9h	0.0
3uex	0.0
4gr0	0.0
1u1b	0.0
